index_date,btc_usd_observed,btc_usd_fitted,btc_usd_predicted,std_error,ci_95_lower,ci_95_upper
2022-01-24,36654.328125,36449.01413623727,,,,
2022-01-25,36954.00390625,37677.835492698076,,,,
2022-01-26,36852.12109375,37200.264272929904,,,,
2022-01-27,37138.234375,33456.65038485882,,,,
2022-01-28,37784.33203125,37975.882321420504,,,,
2022-01-29,38138.1796875,36555.00489239231,,,,
2022-01-30,37917.6015625,36487.40139497751,,,,
2022-01-31,38483.125,38846.395943709635,,,,
2022-02-01,38743.2734375,39469.0075399119,,,,
2022-02-02,36952.984375,37437.05829491237,,,,
2022-02-03,37154.6015625,38062.53155577816,,,,
2022-02-04,41500.875,39256.90677508643,,,,
2022-02-05,41441.1640625,39822.597604906216,,,,
2022-02-06,42412.43359375,41418.77909395369,,,,
2022-02-07,43840.28515625,44108.6343512953,,,,
2022-02-08,44118.4453125,43407.701757381496,,,,
2022-02-09,44338.796875,42147.447370436144,,,,
2022-02-10,43565.11328125,46851.13123680163,,,,
2022-02-11,42407.9375,43900.93107089251,,,,
2022-02-12,42244.46875,43209.23702717181,,,,
2022-02-13,42197.515625,44509.61764769689,,,,
2022-02-14,42586.91796875,43303.87174312505,,,,
2022-02-15,44575.203125,43215.61554121712,,,,
2022-02-16,43961.859375,44580.24249149295,,,,
2022-02-17,40538.01171875,42195.25663299651,,,,
2022-02-18,40030.9765625,42045.81599566457,,,,
2022-02-19,40122.15625,40877.308921065815,,,,
2022-02-20,38431.37890625,39871.47940787788,,,,
2022-02-21,37075.28125,38668.832869331185,,,,
2022-02-22,38286.02734375,38312.369722033385,,,,
2022-02-23,37296.5703125,39496.44266877554,,,,
2022-02-24,38332.609375,32467.41119686679,,,,
2022-02-25,39214.21875,39560.89403705961,,,,
2022-02-26,39105.1484375,38601.172916770556,,,,
2022-02-27,37709.78515625,36028.619008674345,,,,
2022-02-28,43193.234375,38577.97870032949,,,,
2022-03-01,44354.63671875,45692.13764174129,,,,
2022-03-02,43924.1171875,42350.799983687946,,,,
2022-03-03,42451.7890625,43769.39048100231,,,,
2022-03-04,39137.60546875,40007.67177932279,,,,
2022-03-05,39400.5859375,39548.792125748,,,,
2022-03-06,38419.984375,38256.82233986945,,,,
2022-03-07,38062.0390625,40385.74250752403,,,,
2022-03-08,38737.26953125,39847.96518957731,,,,
2022-03-09,41982.92578125,39474.86633710365,,,,
2022-03-10,39437.4609375,41293.6294812187,,,,
2022-03-11,38794.97265625,36182.58606269429,,,,
2022-03-12,38904.01171875,39374.38041366557,,,,
2022-03-13,37849.6640625,37760.54519090113,,,,
2022-03-14,39666.75390625,39641.3998863148,,,,
2022-03-15,39338.78515625,39632.26512657806,,,,
2022-03-16,41143.9296875,42969.58685003568,,,,
2022-03-17,40951.37890625,40267.61469458974,,,,
2022-03-18,41801.15625,39152.66412215728,,,,
2022-03-19,42190.65234375,41648.52130218102,,,,
2022-03-20,41247.82421875,41218.62828143062,,,,
2022-03-21,41077.99609375,42685.96767232967,,,,
2022-03-22,42358.80859375,41640.52875467288,,,,
2022-03-23,42892.95703125,43772.66088317969,,,,
2022-03-24,43960.93359375,42729.35058615272,,,,
2022-03-25,44348.73046875,45569.900024851144,,,,
2022-03-26,44500.828125,43756.11491407997,,,,
2022-03-27,46820.4921875,44652.504392187395,,,,
2022-03-28,47128.00390625,46583.10148259404,,,,
2022-03-29,47465.73046875,46396.02611775493,,,,
2022-03-30,47062.6640625,48028.08032652673,,,,
2022-03-31,45538.67578125,48181.168779113854,,,,
2022-04-01,46281.64453125,47297.718920593274,,,,
2022-04-02,45868.94921875,47735.881581036156,,,,
2022-04-03,46453.56640625,47373.80197179079,,,,
2022-04-04,46622.67578125,45239.51785084757,,,,
2022-04-05,45555.9921875,48336.873202762334,,,,
2022-04-06,43206.73828125,44350.2444151248,,,,
2022-04-07,43503.84765625,41994.716218167,,,,
2022-04-08,42287.6640625,44481.301458938775,,,,
2022-04-09,42782.13671875,41690.953188516076,,,,
2022-04-10,42207.671875,44675.494670656524,,,,
2022-04-11,39521.90234375,41531.3454028384,,,,
2022-04-12,40127.18359375,38364.40527267195,,,,
2022-04-13,41166.73046875,39057.17948698707,,,,
2022-04-14,39935.515625,40102.080938151186,,,,
2022-04-15,40553.46484375,38595.85015913748,,,,
2022-04-16,40424.484375,40440.04281175197,,,,
2022-04-17,39716.953125,40171.50874782214,,,,
2022-04-18,40826.21484375,38832.03051350761,,,,
2022-04-19,41502.75,40606.74044196697,,,,
2022-04-20,41374.37890625,40668.98769492038,,,,
2022-04-21,40527.36328125,40351.756440956786,,,,
2022-04-22,39740.3203125,39439.431105881,,,,
2022-04-23,39486.73046875,40289.31042087132,,,,
2022-04-24,39469.29296875,38197.869316970806,,,,
2022-04-25,40458.30859375,39557.299800576824,,,,
2022-04-26,38117.4609375,40022.957755065945,,,,
2022-04-27,39241.12109375,38779.639733376156,,,,
2022-04-28,39773.828125,39223.64625572634,,,,
2022-04-29,38609.82421875,39477.50471123246,,,,
2022-04-30,37714.875,37981.752497821806,,,,
2022-05-01,38469.09375,37089.60827791522,,,,
2022-05-02,38529.328125,40099.63339287973,,,,
2022-05-03,37750.453125,36557.67945774018,,,,
2022-05-04,39698.37109375,40142.089838268665,,,,
2022-05-05,36575.140625,38233.0223053081,,,,
2022-05-06,36040.921875,36544.096661595744,,,,
2022-05-07,35501.953125,35037.867892956965,,,,
2022-05-08,34059.265625,35653.8656389569,,,,
2022-05-09,30296.953125,33651.98109093614,,,,
2022-05-10,31022.90625,29850.382594951658,,,,
2022-05-11,28936.35546875,31238.566180726277,,,,
2022-05-12,29047.751953125,27188.96401354164,,,,
2022-05-13,29283.103515625,30367.68375418363,,,,
2022-05-14,30101.265625,26962.21316034685,,,,
2022-05-15,31305.11328125,29461.763532544388,,,,
2022-05-16,29862.91796875,28086.240020104935,,,,
2022-05-17,30425.857421875,30598.688861871673,,,,
2022-05-18,28720.271484375,28947.32902516633,,,,
2022-05-19,30314.333984375,29106.278537281327,,,,
2022-05-20,29200.740234375,27704.61846154936,,,,
2022-05-21,29432.2265625,31308.974569452435,,,,
2022-05-22,30323.72265625,30713.222147203327,,,,
2022-05-23,29098.91015625,26890.461190685135,,,,
2022-05-24,29655.5859375,29839.16294080951,,,,
2022-05-25,29562.361328125,28041.262541139648,,,,
2022-05-26,29267.224609375,30707.993849342613,,,,
2022-05-27,28627.57421875,27843.52233498363,,,,
2022-05-28,28814.900390625,30336.916057009406,,,,
2022-05-29,29445.95703125,30033.437624701488,,,,
2022-05-30,31726.390625,29079.620908589284,,,,
2022-05-31,31792.310546875,32138.3623325087,,,,
2022-06-01,29799.080078125,29588.43567596177,,,,
2022-06-02,30467.48828125,31811.934173475234,,,,
2022-06-03,29704.390625,29653.70218319557,,,,
2022-06-04,29832.9140625,29873.744129201674,,,,
2022-06-05,29906.662109375,30853.456833535372,,,,
2022-06-06,31370.671875,33014.07427934397,,,,
2022-06-07,31155.478515625,31032.422153324944,,,,
2022-06-08,30214.35546875,30996.347388168484,,,,
2022-06-09,30111.998046875,30294.2780434364,,,,
2022-06-10,29083.8046875,28977.64989399292,,,,
2022-06-11,28360.810546875,28221.821946403008,,,,
2022-06-12,26762.6484375,27814.082028894954,,,,
2022-06-13,22487.388671875,27379.431150547716,,,,
2022-06-14,22206.79296875,23596.73286255355,,,,
2022-06-15,22572.83984375,20973.677235794366,,,,
2022-06-16,20381.650390625,22240.82251291865,,,,
2022-06-17,20471.482421875,19749.395990295427,,,,
2022-06-18,19017.642578125,18334.768216582434,,,,
2022-06-19,20553.271484375,18902.885389814463,,,,
2022-06-20,20599.537109375,18751.943081771977,,,,
2022-06-21,20710.59765625,20357.60818442424,,,,
2022-06-22,19987.029296875,18879.14910005305,,,,
2022-06-23,21085.876953125,17655.800037235298,,,,
2022-06-24,21231.65625,22589.46254807581,,,,
2022-06-25,21502.337890625,21030.682643083786,,,,
2022-06-26,21027.294921875,20631.413219789236,,,,
2022-06-27,20735.478515625,18204.273513473,,,,
2022-06-28,20280.634765625,20316.732961623875,,,,
2022-06-29,20104.0234375,21322.26723111139,,,,
2022-06-30,19784.7265625,19057.577773215246,,,,
2022-07-01,19269.3671875,20919.377448069736,,,,
2022-07-02,19242.255859375,18990.203604150865,,,,
2022-07-03,19297.076171875,19008.91021936717,,,,
2022-07-04,20231.26171875,19516.040911209013,,,,
2022-07-05,20190.115234375,19554.188490298086,,,,
2022-07-06,20548.24609375,21189.634218075316,,,,
2022-07-07,21637.587890625,21539.03891165297,,,,
2022-07-08,21731.1171875,19999.17659373494,,,,
2022-07-09,21592.20703125,22484.1710451244,,,,
2022-07-10,20860.44921875,21857.85990348675,,,,
2022-07-11,19970.556640625,22364.56127854104,,,,
2022-07-12,19323.9140625,19867.682478086637,,,,
2022-07-13,20212.07421875,19851.50830165718,,,,
2022-07-14,20569.919921875,22044.27373348653,,,,
2022-07-15,20836.328125,20000.274527981925,,,,
2022-07-16,21190.31640625,21268.637772335947,,,,
2022-07-17,20779.34375,20636.919242131593,,,,
2022-07-18,22485.689453125,20858.575202754677,,,,
2022-07-19,23389.43359375,21960.641598647515,,,,
2022-07-20,23231.732421875,24330.355918947673,,,,
2022-07-21,23164.62890625,22709.397057402144,,,,
2022-07-22,22714.978515625,24049.26662105665,,,,
2022-07-23,22465.478515625,22849.45371300813,,,,
2022-07-24,22609.1640625,22246.095122070517,,,,
